shape_signature,dtype,head_size,block_size,num_seqs,total_q,max_seqlen_q,max_seqlen_k,sliding_window,triton_latency_ms,rocke_latency_ms,speedup_triton_over_ckdsl,rocke_correct_max_abs,rocke_policy,cap_blocks
d64_b32_h64kv8_q7320_k10999_ns251_tq8192_sw0_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,251,8192,7320,10999,0,2.792859649658203,2.421702575683594,1.1533,0.000244,production_dispatch,131072
d64_b32_h64kv8_q7440_k10999_ns250_tq8192_sw128_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,250,8192,7440,10999,128,0.10807515382766723,0.09126700162887573,1.1842,0.007812,production_dispatch,131072
d64_b32_h64kv8_q7515_k10998_ns250_tq8192_sw0_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,250,8192,7515,10998,0,1.9936080932617188,2.341143798828125,0.8516,0.000244,production_dispatch,131072
d64_b32_h64kv8_q6181_k10999_ns254_tq8192_sw128_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,254,8192,6181,10999,128,0.1071291446685791,0.08810495138168335,1.2159,0.003906,production_dispatch,131072
d64_b32_h64kv8_q6439_k10999_ns254_tq8192_sw0_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,254,8192,6439,10999,0,2.281741142272949,2.731049919128418,0.8355,0.000244,production_dispatch,131072
d64_b32_h64kv8_q5238_k10999_ns254_tq8192_sw128_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,254,8192,5238,10999,128,0.10214710235595703,0.08808494806289673,1.1596,0.007812,production_dispatch,131072
d64_b32_h64kv8_q6097_k10999_ns254_tq8192_sw0_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,254,8192,6097,10999,0,2.394796371459961,2.80511474609375,0.8537,0.000244,production_dispatch,131072
d64_b32_h64kv8_q7163_k10999_ns254_tq8192_sw128_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,254,8192,7163,10999,128,0.10861719846725464,0.08942700028419495,1.2146,0.003906,production_dispatch,131072
d64_b32_h64kv8_q6303_k10999_ns254_tq8192_sw0_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,254,8192,6303,10999,0,2.320417594909668,2.706755828857422,0.8573,0.000244,production_dispatch,131072
d64_b32_h64kv8_q7503_k10999_ns254_tq8192_sw128_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,254,8192,7503,10999,128,0.10789519548416138,0.09121705293655395,1.1828,0.007812,production_dispatch,131072
d64_b32_h64kv8_q6643_k10999_ns254_tq8192_sw0_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,254,8192,6643,10999,0,2.2395885467529295,2.6199968338012694,0.8548,0.000244,production_dispatch,131072
d64_b32_h64kv8_q4023_k10999_ns254_tq8192_sw128_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,254,8192,4023,10999,128,0.09519305229187011,0.08453494906425477,1.1261,0.007812,production_dispatch,131072
d64_b32_h64kv8_q4777_k10999_ns254_tq8192_sw0_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,254,8192,4777,10999,0,2.6657392501831056,3.1224763870239256,0.8537,0.000244,production_dispatch,131072
d64_b32_h64kv8_q4363_k10999_ns254_tq8192_sw128_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,254,8192,4363,10999,128,0.10294915437698364,0.08869699835777282,1.1607,0.007812,production_dispatch,131072
d64_b32_h64kv8_q6197_k10999_ns254_tq8192_sw0_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,254,8192,6197,10999,0,2.338699722290039,2.7423282623291017,0.8528,0.000244,production_dispatch,131072
d64_b32_h64kv8_q4997_k10999_ns254_tq8192_sw128_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,254,8192,4997,10999,128,0.10390114784240723,0.0890250027179718,1.1671,0.007812,production_dispatch,131072
d64_b32_h64kv8_q4142_k10999_ns254_tq8192_sw0_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,254,8192,4142,10999,0,2.8064668655395506,3.2945621490478514,0.8518,0.000244,production_dispatch,131072
d64_b32_h64kv8_q5341_k10999_ns254_tq8192_sw128_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,254,8192,5341,10999,128,0.10361515283584595,0.08890895247459411,1.1654,0.003906,production_dispatch,131072
d64_b32_h64kv8_q6539_k10999_ns254_tq8192_sw0_sc0_sinks1_bfloat16,bf16Q_fp8KV,64,32,254,8192,6539,10999,0,2.2582347869873045,2.7443315505981447,0.8229,0.000244,production_dispatch,131072
