shape_signature,dtype,head_size,block_size,num_seqs,total_q,max_seqlen_q,max_seqlen_k,sliding_window,triton_latency_ms,rocke_latency_ms,speedup_triton_over_ckdsl,rocke_correct_max_abs,rocke_policy,cap_blocks
d64_b32_h64kv8_q1000_k1033_ns269_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,269,8192,1000,1033,128,0.117380690574646,0.11681768894195557,1.0048,0.003906,production_dispatch,65536
d64_b32_h64kv8_q1000_k1033_ns269_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,269,8192,1000,1033,0,0.3997248649597168,0.3495765447616577,1.1435,0.000977,production_dispatch,65536
d64_b32_h64kv8_q1000_k1034_ns276_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,276,8192,1000,1034,128,0.12017520666122436,0.1185371994972229,1.0138,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1034_ns276_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,276,8192,1000,1034,0,0.40540242195129395,0.3541701078414917,1.1447,0.000977,production_dispatch,65536
d64_b32_h64kv8_q1000_k1035_ns284_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,284,8192,1000,1035,128,0.11740169525146485,0.11864818334579467,0.9895,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1035_ns284_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,284,8192,1000,1035,0,0.580740213394165,0.3591506242752075,1.617,0.000977,production_dispatch,65536
d64_b32_h64kv8_q1000_k1036_ns292_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,292,8192,1000,1036,128,0.11414767503738403,0.1187066912651062,0.9616,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1036_ns292_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,292,8192,1000,1036,0,0.42974104881286623,0.36506264209747313,1.1772,0.001953,production_dispatch,65536
d64_b32_h64kv8_q1000_k1037_ns300_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,300,8192,1000,1037,128,0.13707481622695922,0.12317472696304321,1.1128,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1037_ns300_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,300,8192,1000,1037,0,0.504803991317749,0.3842572450637817,1.3137,0.001953,production_dispatch,65536
d64_b32_h64kv8_q1000_k1038_ns308_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,308,8192,1000,1038,128,0.13453478813171388,0.12486623525619507,1.0774,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1038_ns308_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,308,8192,1000,1038,0,0.49068140983581543,0.3931823015213013,1.248,0.001953,production_dispatch,65536
d64_b32_h64kv8_q1000_k1039_ns316_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,316,8192,1000,1039,128,0.12819124460220338,0.12669675350189208,1.0118,0.007812,production_dispatch,65536
d64_b32_h64kv8_q1000_k1039_ns316_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,316,8192,1000,1039,0,0.4593377113342285,0.39389183521270754,1.1662,0.001953,production_dispatch,65536
d64_b32_h64kv8_q1000_k1040_ns324_tq8192_sw128_sc0_sinks1_bfloat16,torch.bfloat16,64,32,324,8192,1000,1040,128,0.13078277111053466,0.12507773637771608,1.0456,0.003906,production_dispatch,65536
d64_b32_h64kv8_q1000_k1040_ns324_tq8192_sw0_sc0_sinks1_bfloat16,torch.bfloat16,64,32,324,8192,1000,1040,0,0.47667732238769533,0.40010685920715333,1.1914,0.003906,production_dispatch,65536
